title,release_date,release_year,worldwide_box_office,split
Raggedy Man,1981-09-18,1981,1976198.0,train
Whose Life Is It Anyway?,1982-01-22,1981,8206145.0,train
Inchon,1982-09-17,1981,5200986.0,train
All Night Long,1981-03-06,1981,4454295.0,train
The Pursuit of D.B. Cooper,1981-11-13,1981,3702028.0,train
Rollover,1981-12-11,1981,10851261.0,train
Only When I Laugh,1981-09-25,1981,25524778.0,train
Honky Tonk Freeway,1981-08-21,1981,2004742.0,train
Paternity,1981-10-02,1981,18838812.0,train
King of the Mountain,1981-05-01,1981,1791147.0,train
The Devil and Max Devlin,1981-03-06,1981,16000000.0,train
The Amateur,1982-02-12,1981,6892098.0,train
Comin' at Ya!,1981-07-24,1981,12000000.0,train
Le Pont du Nord,1982-03-24,1981,17110.0,train
Silence of the North,1981-10-23,1981,1622898.0,train
Fast Times at Ridgemont High,1982-08-13,1982,27092880.0,train
Blade Runner,1982-06-25,1982,41676878.0,train
The Thing,1982-06-25,1982,19632053.0,train
Conan the Barbarian,1982-05-14,1982,68851475.0,train
E.T. the Extra-Terrestrial,1982-06-11,1982,792910554.0,train
First Blood,1982-10-22,1982,125212904.0,train
An Officer and a Gentleman,1982-08-13,1982,129795554.0,train
Grease 2,1982-06-11,1982,15171476.0,train
Annie,1982-06-18,1982,57063861.0,train
Poltergeist,1982-06-04,1982,77142388.0,train
48 Hrs.,1982-12-08,1982,78868508.0,train
Star Trek II: The Wrath of Khan,1982-06-04,1982,78912963.0,train
Paradise,1982-05-07,1982,5588800.0,train
The Last American Virgin,1982-07-30,1982,5829781.0,train
Sophie's Choice,1983-03-04,1982,30036000.0,train
Gandhi,1983-02-25,1982,52767889.0,train
Tootsie,1982-12-17,1982,177200000.0,train
Tron,1982-07-09,1982,33000525.0,train
The Secret of NIMH,1982-07-16,1982,14665733.0,train
The King of Comedy,1983-02-18,1982,2536242.0,train
Rocky III,1982-05-28,1982,125052686.0,train
The Beastmaster,1982-08-20,1982,14056528.0,train
Creepshow,1982-11-12,1982,21028755.0,train
The Man from Snowy River,1982-11-05,1982,20659423.0,train
Pink Floyd: The Wall,1982-09-17,1982,22265763.0,train
Cat People,1982-04-02,1982,7000000.0,train
Fanny and Alexander,1982-12-17,1982,6795771.0,train
Friday the 13th Part III,1982-08-13,1982,36690067.0,train
Firefox,1982-06-18,1982,46708276.0,train
Halloween III: Season of the Witch,1982-10-22,1982,14400000.0,train
The Dark Crystal,1982-12-17,1982,41630431.0,train
The Verdict,1982-12-17,1982,53993738.0,train
Pieces,1983-09-23,1982,2032311.0,train
Zapped!,1982-09-03,1982,16897768.0,train
Six Pack,1982-07-16,1982,20225989.0,train
The World According to Garp,1982-07-23,1982,29712172.0,train
Diner,1982-05-21,1982,14099953.0,train
The Best Little Whorehouse in Texas,1982-07-23,1982,69701637.0,train
The Year of Living Dangerously,1983-02-18,1982,10278575.0,train
Night Shift,1982-07-30,1982,21095638.0,train
Summer Lovers,1982-07-16,1982,4968000.0,train
Victor Victoria,1982-03-19,1982,28229046.0,train
The Last Unicorn,1982-11-19,1982,6455330.0,train
The Entity,1983-02-04,1982,13277558.0,train
Airplane II: the Sequel,1982-12-10,1982,27150534.0,train
The Toy,1982-12-10,1982,47118057.0,train
The House on Sorority Row,1983-07-28,1982,10604986.0,train
Evil Under the Sun,1982-03-05,1982,6110670.0,train
The Sword and the Sorcerer,1982-04-30,1982,39103425.0,train
Death Wish II,1982-02-19,1982,16100000.0,train
Silent Rage,1982-04-02,1982,10490791.0,train
Megaforce,1982-06-25,1982,5675599.0,train
Personal Best,1982-06-26,1982,5672311.0,train
Dead Men Don't Wear Plaid,1982-05-21,1982,18196170.0,train
Amityville II: The Possession,1982-09-24,1982,12534817.0,train
Missing,1982-03-12,1982,14000000.0,train
The Seduction,1982-01-29,1982,11378339.0,train
Cannery Row,1982-02-12,1982,5301539.0,train
Deathtrap,1982-03-19,1982,19282134.0,train
Tex,1982-07-30,1982,7400000.0,train
"I, the Jury",1982-04-22,1982,1515578.0,train
Tempest,1982-09-24,1982,5005245.0,train
Young Doctors in Love,1982-07-16,1982,30688860.0,train
My Favorite Year,1982-10-08,1982,20123620.0,train
Still of the Night,1982-11-19,1982,5979947.0,train
Parasite,1982-03-12,1982,2270.0,train
Making Love,1982-03-05,1982,11897978.0,train
Honkytonk Man,1982-12-15,1982,4484991.0,train
The Beast Within,1982-02-12,1982,7742572.0,train
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",1983-04-06,1982,840958.0,train
The Final Option,1983-09-16,1982,2666873.0,train
Trail of the Pink Panther,1982-12-17,1982,9056073.0,train
The Sender,1982-10-22,1982,1054328.0,train
The Border,1982-02-12,1982,6118683.0,train
Kiss Me Goodbye,1982-12-22,1982,15782759.0,train
A Midsummer Night's Sex Comedy,1982-07-16,1982,9077269.0,train
Vice Squad,1982-01-22,1982,13253583.0,train
Best Friends,1982-12-17,1982,36821203.0,train
Shoot the Moon,1982-02-19,1982,9217530.0,train
Lookin' to Get Out,1983-06-30,1982,946461.0,train
Barbarosa,1982-02-19,1982,1736123.0,train
Visiting Hours,1982-05-28,1982,13258670.0,train
A Little Sex,1982-04-02,1982,2370376.0,train
Class Reunion,1982-10-29,1982,10054150.0,train
Hanky Panky,1982-06-04,1982,9823934.0,train
Author! Author!,1982-06-18,1982,13111101.0,train
Split Image,1982-10-03,1982,263635.0,train
The Challenge,1982-07-23,1982,2977706.0,train
The Soldier,1982-08-27,1982,6328816.0,train
Wrong Is Right,1982-05-14,1982,3583513.0,train
Six Weeks,1982-12-17,1982,6668025.0,train
The State of Things,1983-02-18,1982,3700.0,train
Jekyll and Hyde... Together Again,1982-10-01,1982,3792188.0,train
Forced Vengeance,1982-07-30,1982,6660333.0,train
The Missionary,1982-11-05,1982,7241180.0,train
The Escape Artist,1982-05-28,1982,143369.0,train
Night Crossing,1982-02-05,1982,8000000.0,train
Endangered Species,1982-09-10,1982,1474249.0,train
Things Are Tough All Over,1982-08-04,1982,21134374.0,train
Homework,1982-08-27,1982,2914328.0,train
Jinxed!,1982-10-22,1982,2869638.0,train
The Return of Martin Guerre,1983-08-26,1982,3723036.0,train
They Call Me Bruce,1982-11-12,1982,16894678.0,train
Some Kind of Hero,1982-04-02,1982,23671186.0,train
