title,release_date,log_budget,release_year,release_month,release_quarter,holiday_release,director_prior_films,director_prior_avg_gross,star_prior_films,star_prior_avg_gross,company_prior_films,company_prior_avg_gross,primary_genre,release_season,worldwide_box_office,log_worldwide_box_office
Escape from New York,1981-07-10,15.607270193858982,1981,7.0,3.0,0,1,21448782.0,0,,1,21448782.0,Unknown,summer,25244626.0,17.044123898962987
The Evil Dead,1983-04-15,12.765691290604371,1981,4.0,2.0,0,0,,0,,0,,Unknown,spring,2956630.0,14.899561002410731
Porky's,1982-03-19,14.731801689838349,1981,3.0,1.0,0,0,,0,,0,,Unknown,spring,111289673.0,18.527647035661463
Blow Out,1981-07-24,16.705882371415992,1981,7.0,3.0,0,1,31899000.0,1,46918287.0,1,31899000.0,Unknown,summer,12000000.0,16.300417291085605
Clash of the Titans,1981-06-12,16.52356082573315,1981,6.0,2.0,0,0,,1,27118000.0,0,,Unknown,summer,41092328.0,17.53133201971085
Excalibur,1981-04-10,16.213405921671733,1981,4.0,2.0,0,0,,0,,0,,Unknown,spring,34971136.0,17.370033622094073
Mad Max 2,1982-05-21,14.914123179965662,1981,5.0,2.0,0,0,,0,,0,,Unknown,summer,23668369.0,16.979650115578618
Das Boot,1982-02-10,,1981,2.0,1.0,0,0,,0,,0,,Unknown,winter,11487676.0,16.256785453579607
Stripes,1981-06-26,16.118095750958314,1981,6.0,2.0,0,0,,0,,3,58102907.666666664,Unknown,summer,85297000.0,18.261649853578895
Possession,1983-10-28,,1981,10.0,4.0,0,0,,0,,0,,Unknown,fall,1113538.0,13.923053789763111
The Cannonball Run,1981-06-19,16.705882371415992,1981,6.0,2.0,0,1,66132626.0,1,66132626.0,0,,Unknown,summer,72179579.0,18.09466773837562
Thief,1981-03-27,15.520258832020865,1981,3.0,1.0,0,0,,0,,0,,Unknown,spring,11492915.0,16.257241403527527
Endless Love,1981-07-17,,1981,7.0,3.0,0,0,,1,58853106.0,1,10000000.0,Unknown,summer,32492674.0,17.296525237281653
Time Bandits,1981-11-06,15.424948670398354,1981,11.0,4.0,1,0,,0,,0,,Unknown,holiday,42368025.0,17.561904531949324
